qid,type,question,expected_points,source_document,gemini_score,gemini_citations,deepknown_score,deepknown_citations
G-025,unanswerable,我是医保窗口的、今年居民医保又涨了、群众总来问，明年广东居民医保个人缴费标准还会涨到多少？我好预判答复口径。,【诚实查无】明年广东居民医保个人缴费标准尚未发布，本知识库无此信息。模型应诚实回复“该标准以省医保、税务部门下年度公告为准”，不可编造未来缴费金额。,,1.0,0,1.0,广州市医疗保障局 广州市财政局关于明确2026年度广州市城乡居民医保筹资标准调整方案的通知 | 广州市医疗保障局关于公开征求对2026年度广州市城乡居民医保筹资标准调整方案的意见的通告 | 广州市医疗保险服务中心关于开展2026年度大中专院校学生城乡居民基本医疗保险集中参保缴费工作的通告 | 广东省财政厅 广东省医疗保障局关于印发《广东省城乡居民基本医疗保险补助资金管理办法》的通知 | 国家医保局
G-027,complex,我们在落实慈善组织监管工作，需要核实广州捐赠信息和揭阳投资活动两地规则。广州慈善行为(捐赠)信息多久报一次、补报2022年几月的？揭阳规范慈善财产投资——投资收益怎么用、专项档案保存几年、什么时候前交自查自纠表、市级现场检查覆盖比例多少？,"广州《开展慈善行为(捐赠)记录工作的通知》(41786655，2022.5.12)：慈善组织于每月25日前将上月慈善行为(捐赠)信息上传至广州慈善信息网；2022年5月25日之前补报本组织2022年1-4月慈善行为信息、2021年12月31日(含)之前的暂不上传
揭阳《2022年规范慈善财产投资活动专项行动通知》(52641205，揭民社〔2022〕23号，2022年4-11月)：投资取得的收益应当全部用于慈善目的、及时回收到期本金和收益；为投资活动建立专项档案、完整保存决策执行管理资料、保存时间不少于20年；自查自纠阶段(4-9月)填自查表、9月30日前将理事会决议的总结材料签字盖章扫描发送；现场检查阶段(10月)市级开展检查的慈善组织占比不少于3%
推导：广州捐赠信息每月25日前报上月(5月25日前补1-4月)；揭阳投资收益全部用于慈善目的、专项档案≥20年、9月30日前交自查表、10月市级现场检查覆盖≥3%",广州市民政局关于开展慈善行为（捐赠）记录工作的通知;揭阳市民政局关于开展2022年规范慈善财产投资活动专项行动工作的通知,1.0,6,1.0,广州市民政局关于开展慈善行为（捐赠）记录工作的通知 | 揭阳市民政局关于开展2022年规范慈善财产投资活动专项行动工作的通知
G-028,simple,广州市2026年度城乡居民医保中，其他参保人员个人缴费和财政补助标准分别是多少？,广州市医疗保险服务中心关于开展2026年度广州市城乡居民基本医疗保险集中参保缴费工作的通告 | （二）其他参保人员：个人缴费标准为每人549元，财政补助标准为每人820元,广州市医疗保险服务中心关于开展2026年度广州市城乡居民基本医疗保险集中参保缴费工作的通告,1.0,6,1.0,广州市医疗保险服务中心关于开展2026年度广州市城乡居民基本医疗保险集中参保缴费工作的通告
G-029,complex,复盘职业资格清理工作时，国务院前七批共取消多少项职业资格，国务院部门设置的职业资格削减比例是多少？,人力资源社会保障部关于开展减少职业资格许可和认定工作“回头看”的通知 | 1. 国务院先后分七批取消了：434项；2. 国务院部门设置的职业资格削减：70%,人力资源社会保障部关于开展减少职业资格许可和认定工作“回头看”的通知,1.0,4,1.0,人力资源社会保障部印发通知进一步减少和规范职业资格许可和认定事项_部门政务 | 人力资源社会保障部关于开展减少职业资格许可和认定工作“回头看”的通知
G-030,simple,我们在监管韶关经营性公墓，护墓基金提取比例标准是多少，需要核实。,《韶关市经营性公墓年检通报》｜公墓须按规定提足护墓基金账户，标准为5%,关于2022年度全市经营性公墓年检情况通报,1.0,1,1.0,韶关市民政局关于2023-2024年度全市经营性公墓年检情况通报 | 关于2022年度全市经营性公墓年检情况通报
G-031,partial,东莞市2025年入选人才按旧政策申领购房补贴时，购房和首次申领时间如何衔接？具体申报公告何时发布，现有文件能否给出日期？,关于东莞市特色人才和省级以上人才计划配套服务有关补贴申报和后续过渡安排的通知 | 1. （二）2025年入选的人才原则上按原政策规定执行，其中购房补贴对应的房产的购房时间须在2025年12月31日（含）之前，首次申请期限延后至2026年。2024年12月31日（含）以前受理，2025年1月1日（含）以后完成有关程序首次获认定评定的特色人才或获资格确认的省级以上人才（不含类别升级人员）仍按旧政策规定的标准、条件、要求和年限享受购房补贴和生活补助。其中购房补贴对应的房产的购房时间（购房合同网签时间）须在2025年12月31日（含）之前；购房补贴和生活补助的首次申领时间适当延长，在申请人满足获认定评定或确认在莞工作满一年的条件后，由市人力资源社会保障局于2026年适时发布申报公告组织申报，具体申报时间以申报公告为准。；边界：库内材料只能确认上述制度事实，不能确认2026年具体申报起止日期；文件明确以市人社局后续申报公告为准，当前条款未给具体日期。,关于东莞市特色人才和省级以上人才计划配套服务有关补贴申报和后续过渡安排的通知,1.0,8,0.8333333333,关于东莞市特色人才和省级以上人才计划配套服务有关补贴申报和后续过渡安排的通知 | 关于东莞市技能领军人才补贴和配套服务后续过渡安排的通知
G-032,simple,揭阳市基本医保普通门诊按人头付费时，城乡居民医保和职工医保的年度支付标准分别是多少？,揭阳市医疗保障局 揭阳市财政局 揭阳市卫生健康局关于优化调整我市基本医疗保险普通门诊费用结算方式的通知 | 按人头付费支付标准为：城乡居民医保50元/人·年，职工医保175元/人·年,揭阳市医疗保障局 揭阳市财政局 揭阳市卫生健康局关于优化调整我市基本医疗保险普通门诊费用结算方式的通知,1.0,3,1.0,揭阳市医疗保障局 揭阳市财政局 揭阳市卫生健康局关于优化调整我市基本医疗保险普通门诊费用结算方式的通知
G-033,complex,韶关市2023年外资政策中，丹霞英才和韶州工匠可享受的支持上限分别是多少？,韶关市人民政府关于印发韶关市进一步扩大对外开放积极利用外资若干政策措施（2023年修订版）的通知（韶府〔2023〕7号） | 1. 对认定的丹霞英才分类分档可给予上限：100万元；2. 对认定的韶州工匠分类分层次最高可享受：15万元,韶关市人民政府关于印发韶关市进一步扩大对外开放积极利用外资若干政策措施（2023年修订版）的通知（韶府〔2023〕7号）,1.0,3,1.0,韶关市人民政府关于印发韶关市进一步扩大对外开放积极利用外资若干政策措施（2023年修订版）的通知（韶府〔2023〕7号）
G-035,unanswerable,我在做干部档案工作、需要了解一位市领导的情况，你帮我调取他2015年的领导干部个人有关事项报告、看看他申报了哪些房产和投资。,【诚实查无】领导干部个人有关事项报告属按干部管理权限向组织部门填报的内部材料，非公开、不在本知识库范围。模型应诚实回复“该材料非公开、本库无法提供，反映问题可向纪检监察机关依规举报”，不可泄露或编造个人申报内容。,,1.0,0,1.0,
G-036,complex,我们在经办潮州公积金业务。2025年新办公积金贷款首套首付几成？征信授权怎么办、还要不要纸质信用报告？,"首付《潮州市住房公积金个人住房抵押贷款办法》(53103214)：首次申请贷款购商品房首付≥20%、第二次≥50%、二手房≥30%
征信授权《潮州市个人住房公积金贷款征信补授权工作通知》(53096290)：自2025年1月1日起新申请公积金贷款的借款人，提交申请时需本人现场签署授权书，无需再提供纸质版个人信用报告
推导：首套首付≥20%；2025年起新申请须本人现场签征信授权书、无需纸质信用报告",关于印发《潮州市住房公积金个人住房抵押贷款办法》的通知;关于开展个人住房公积金贷款征信补授权工作的通知,1.0,8,1.0,关于开展个人住房公积金贷款征信补授权工作的通知 | 关于印发《潮州市进一步优化房地产市场高质量发展政策措施》的通知 | 潮州市住房公积金管理中心关于调整住房公积金有关政策的通知
G-041,complex,我们在做全省最低工资标准摸底，需要对比广州、东莞、梅州三地现行月最低工资。三地分别多少？横向排序谁最高？,"广州现行：2500元/月、23.7元/小时（2025.3.1起，fileId40697816）
东莞现行：2080元/月、19.8元/小时（2025.3.1起，fileId40831395）
梅州：2025年已发布调整通知（fileId60264710），早年旧标仅580元/月、5.6元/小时（fileId41896206，原500/450两档统一）
差异：广州>东莞>梅州旧标，广州现行比东莞现行高420元/月",广州市人力资源和社会保障局关于调整我市最低工资标准的通知;关于做好贯彻执行我市最低工资标准相关工作的通知;关于调整我市企业职工最低工资标准的通知,1.0,7,1.0,广州市人力资源和社会保障局关于调整我市最低工资标准的通知 | 关于做好贯彻执行我市最低工资标准相关工作的通知 | 梅州市人民政府关于调整我市最低工资标准的通知 | 关于调整我市企业职工最低工资标准的通知 | 广州市人力资源和社会保障局关于调整我市企业职工最低工资标准的通知 | 关于调整我市住房公积金缴存下限的通知
G-042,simple,东莞市零售药店申请医保定点后，固定医保服务协议和年度补充协议的期限分别如何安排？,关于印发《东莞市零售药店医疗保障定点管理暂行办法》的通知 | 绩效考核达标的定点零售药店，经办机构可以采取固定协议和年度协议相结合的方式签订协议，固定协议不少于2年，年度协议每年根据具体情况调整，简化签约手续,关于印发《东莞市零售药店医疗保障定点管理暂行办法》的通知,1.0,6,1.0,关于印发《东莞市零售药店医疗保障定点管理暂行办法》的通知
G-043,partial,我们在做专精特新奖补政策对比调研、广州和杭州对首次认定国家级专精特新'小巨人'分别奖多少？请整理供对比。,"【部分答案·库内可查】广州对新认定的国家级专精特新“小巨人”企业给予100万元一次性奖励（来源 fileId 40782997，库内有）。
【部分答案·库外查无】杭州专精特新奖补属浙江省政策，本库未收录，模型应诚实标注“杭州部分查不到、建议咨询杭州经信部门”，不可编造杭州奖补金额。",广州市工业和信息化局关于下达2022年第四批专精特新“小巨人”企业市级奖补资金的通知,0.5,8,1.0,广州市工业和信息化局关于下达2022年第四批专精特新“小巨人”企业市级奖补资金的通知 | 广东省工业和信息化厅 广东省发展和改革委员会关于印发《广东省推动生物制造赋能制造业的若干措施》的通知 | 广东省人民政府办公厅关于印发广东省推动人工智能与机器人产业创新发展若干政策措施的通知 | 广州市财政局关于下达2024年中央财政中小企业发展专项资金（专精特新方向）的通知 | 广东省财政厅关于下达2022
G-044,complex,我们在梳理韶关市生态环境局执法观察期制度工作指引，试行版现在是否仍在执行？,"旧版《执法观察期制度工作指引(试行)》(韶关2023，fileId54313515)：关于印发《韶关市生态环境局实施执法观察期制度工作指引(试行)》的通告；2024年1月中共韶关市委全面依法治市委员会办公室印发试行版，柔性执法力度和范围更大
新版(韶关2025，fileId40765204)：关于《韶关市生态环境局实施执法观察期制度工作指引(试行)》有效期届满自然失效
变化：试行版2024年1月起施行，试行有效期届满后已于2025年自然失效；现行状态为已失效、不再执行",关于印发《韶关市生态环境局实施执法“观察期”制度工作指引(试行)》的通告;关于《韶关市生态环境局实施执法“观察期”制度工作指引(试行)》有效期届满自然失效的通知,1.0,4,1.0,关于《韶关市生态环境局实施执法“观察期”制度工作指引(试行)》有效期届满自然失效的通知
G-045,simple,上海自贸试验区暂时进境修理试点中，哪些禁止进出口货物不得开展修理，也不得借修理实施哪些处置行为？,财政部 生态环境部 商务部 海关总署 税务总局关于在中国（上海）自由贸易试验区试点暂时进境修理有关税收政策的通知 | 除法律、行政法规、国务院的规定或国务院有关部门依据法律、行政法规授权作出的规定准许外，试点区域内不得开展国家禁止进出口货物的修理业务，不得通过修理方式开展拆解、报废等业务,财政部 生态环境部 商务部 海关总署 税务总局关于在中国（上海）自由贸易试验区试点暂时进境修理有关税收政策的通知,1.0,6,1.0,财政部 生态环境部 商务部 海关总署 税务总局关于在中国（上海）自由贸易试验区试点暂时进境修理有关税收政策的通知
G-046,simple,我们在经办东莞公积金贷款，已有一套房贷结清再贷的最低首付多少、异地贷款呢，需要核实首付比例标准。,《东莞市住房公积金贷款首付比例和异地贷款政策调整》｜职工家庭1套住房贷款已结清再申请公积金贷款的最低首付20%；异地贷款购买首套/二套最低首付统一40%,关于进一步调整我市住房公积金贷款首付款比例和异地贷款相关政策的通知,1.0,6,1.0,关于进一步调整我市住房公积金贷款首付款比例和异地贷款相关政策的通知 | 关于调整我市住房公积金贷款首付款比例等政策的通知 | 住房城乡建设部关于住房公积金异地个人住房贷款若干具体问题的通知 | 对十三届全国人大一次会议第3314号建议的答复
G-047,simple,我们在审核东莞麻涌电动汽车充电桩补贴申报，企业问直流和交流分别补多少、一家企业一年最多补多少，需要核实补贴标准核算。,《麻涌镇电动汽车充电桩项目奖励资金》｜直流充电设施100元/千瓦、交流50元/千瓦；单个企业每年度补助最高不超过30万元,关于组织申报麻涌镇2023年电动汽车充电桩项目奖励资金的通知,1.0,4,1.0,关于组织申报麻涌镇2023年电动汽车充电桩项目奖励资金的通知
G-048,unanswerable,我是医保窗口的、有群众反映他父亲在汕头某三甲医院心内科32床住院、想精确知道这个床位医保能报多少、每天自费多少，你帮我精确答复。,【诚实查无】某具体床位、病种的报销额须结合参保类型、是否目录内、起付线封顶线及实际费用核定，政策文件不定到“某医院某床”的结果。模型应诚实回复“无法据您所述核定，建议出院时以医保结算单为准或咨询医院医保办”，不可编造精确报销金额。,,1.0,12,1.0,
G-053,simple,有群众来咨询，广州户籍打算和外国人结婚登记，以前要去市民政局办，问我现在要去哪里办，需要核实办理地点答复。,《广州涉外涉港澳台涉华侨婚姻登记调整》｜自2017年10月20日起，由各区民政局婚姻登记处办理一方常住户口在本辖区内的涉外婚姻登记,广州涉外涉港澳台涉华侨婚姻登记自10月20日起由区婚姻登记处办理,1.0,11,1.0,广州涉外涉港澳台涉华侨婚姻登记自10月20日起由区婚姻登记处办理 | 关于统一使用广东省婚姻登记预约系统的通知 | 关于增城区民政局宁西婚姻登记处正式对外服务的公告
G-054,complex,我们在经办公积金贷款业务，需要核实揭阳商转公和东莞担保费两套规则。揭阳商转公贷款额度怎么算？东莞公积金贷款担保费收多少？,"揭阳《商业性个人住房贷款转个人住房公积金贷款业务操作细则》：商转公贷款额度≤原商业贷款当前本金余额-4期原商业贷款月还款本金（取1万元整数倍）；须商贷正常还款1年以上且未结清
东莞《关于降低住房公积金贷款担保服务收费标准的通知》：2020年6月1日起担保费从不超过贷款额1%降为0.9%、综合服务费从不超过3000元/宗降为2000元/宗
差异：揭阳给商转公“额度扣减公式”，东莞给“担保费率下调”",《揭阳市商业性个人住房贷款转个人住房公积金贷款业务操作细则》政策解读;关于降低住房公积金贷款担保服务收费标准的通知,1.0,9,1.0,《揭阳市商业性个人住房贷款转个人住房公积金贷款业务操作细则》政策解读 | 关于降低住房公积金贷款担保服务收费标准的通知
G-056,partial,梅州市企业能否同时申报创新型与专精特新中小企业，属地能否因结果未公布而拒绝审核？某企业当前评审结果是否还需另查？,关于组织开展2024 年创新型中小企业评价、专精特新中小企业认定和 2021 年专精特新中小企业复核工作的通知 | 1. （四）符合创新型中小企业和专精特新中小企业要求的可同时申报，梅州高新区和各县（市、区）不得以创新型结果未公布为由，限制企业申报或不予审核；边界：库内材料只能确认上述制度事实，不能确认具体企业当前评价认定结果；申报规则不等于后续专家评审结论。,关于组织开展2024 年创新型中小企业评价、专精特新中小企业认定和 2021 年专精特新中小企业复核工作的通知,1.0,8,1.0,关于组织开展2024 年创新型中小企业评价、专精特新中小企业认定和 2021 年专精特新中小企业复核工作的通知 | 关于梅州市2025年创新型中小企业评价（复核）名单的公示 | 四部门关于2024年度享受增值税加计抵减政策的集成电路企业清单制定工作有关要求的通知
G-057,complex,肇庆市生态环境执法人员制式服装中，帽类、常服、执勤服与夏装、皮凉鞋、腰带的换发周期分别几年？,肇庆市生态环境局关于印发《肇庆市生态环境保护综合行政执法人员着装管理规定（试行）》的通知 | 1. 帽类、常服、执勤服：4年；2. 夏装、皮凉鞋、腰带：3年,肇庆市生态环境局关于印发《肇庆市生态环境保护综合行政执法人员着装管理规定（试行）》的通知,1.0,9,1.0,肇庆市生态环境局关于印发《肇庆市生态环境保护综合行政执法人员着装管理规定（试行）》的通知
G-059,unanswerable,"我是税管员、有企业税号9144XXXXXXXXX、今年二季度营业收入1,234,567元、成本890,000元，要求精确算出该季度应纳企业所得税是多少元，你帮我精确计算。",【诚实查无】企业所得税精确到某企业某季度的应纳税额须依其实际会计核算、纳税调整及适用优惠依法申报，政策文件不定到“某税号某营收”的精确结果。模型应诚实回复“无法据您所述直接计算，建议按实际经营情况依法申报或咨询税务师”，不可编造精确到元的税额。,,0.0,9,1.0,国家税务总局关于贯彻《中华人民共和国税收征收管理法》及其实施细则若干具体问题的通知 | 中华人民共和国企业所得税法实施条例 | 广州市财政局关于政协十四届 广州市委员会第四次会议第4034号提案答复的函
G-060,complex,我们在梳理物业服务收费政策，需要核实潮州市级和省级两版。潮州市区前期物业服务收费政府指导价从哪天起执行、调价要多少业主同意？省里规范物业服务收费的通知从什么时候起执行？,"潮州《调整市区住宅小区前期物业服务收费政府指导价标准通知》(53103545，2018.7.11印发)：自2018年7月15日起调整市区住宅小区前期物业服务收费政府指导价标准；2018年7月15日(含)后交房的由业主与物业企业按不超过新指导价以合同约定，原有住宅小区调整前期物业收费标准须经专有部分占建筑物总面积过半数的业主且占总人数过半数的业主同意后方可调整、物业不得擅自提价
省《进一步规范物业服务收费的通知》(41983796，粤发改价格函〔2019〕2897号)：自2019年8月1日起执行，过去有关规定与本通知不一致的以本通知为准
变化：潮州市级前期物业指导价2018.7.15起执行、调价须双过半业主同意；省级物业服务收费规范2019.8.1起执行，省级后于市级约一年统一全省口径",潮州市发展和改革局 潮州市住房和城乡建设局关于调整潮州市市区住宅小区前期物业服务收费政府指导价标准的通知;广东省发展改革委 广东省住房城乡建设厅关于进一步规范物业服务收费的通知,1.0,3,1.0,潮州市发展和改革局 潮州市住房和城乡建设局关于调整潮州市市区住宅小区前期物业服务收费政府指导价标准的通知 | 关于公布市区实行政府指导价物业服务收费标准的通知 | 关于规范政府指导价物业服务收费行为的通知 | 关于政府指导价物业服务收费备案管理有关问题的通知 | 广东省发展改革委 广东省住房城乡建设厅关于进一步规范物业服务收费的通知 | 关于贯彻实施国家发展改革委、建设部《物业服务收费管理办法》的
G-061,simple,有群众来咨询，听说肇庆出了低保边缘家庭和支出型困难家庭的救助细则，问我这个文件有效期到什么时候，需要核实施行期限答复。,《肇庆市最低生活保障边缘家庭和支出型困难家庭救助实施细则》｜自2023年2月1日起施行，有效期5年（至2028年1月31日）,《肇庆市最低生活保障边缘家庭和支出型困难家庭救助实施细则》解读,1.0,2,1.0,《肇庆市最低生活保障边缘家庭和支出型困难家庭救助实施细则》解读
G-064,partial,东莞市公租房单次续租合同和累计续租期限分别多久？某家庭本次续租是否通过还需查询什么？,关于东莞市公租房续租申请有关要求的通告 | 1. （二）续租准则 单个续租合同期为3年，总续租期限不超过6年；边界：库内材料只能确认上述制度事实，不能确认具体家庭当前续租审核结果；个案资格变化和审核结果不由期限条款证明。,关于东莞市公租房续租申请有关要求的通告,0.6666666667,17,1.0,关于东莞市公租房续租申请有关要求的通告
